HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
41,53,126,0.511,0.793,0.367,25,49,115,0.495,0.818,0.359,33,36,1
50,43,130,0.495,0.76,0.422,35,52,115,0.427,0.893,0.318,27,46,1
59,44,120,0.554,0.706,0.485,33,34,124,0.448,1,0.435,30,46,0
56,51,121,0.553,0.839,0.355,26,37,111,0.494,0.714,0.4,25,33,1
39,40,93,0.429,0.857,0.29,26,37,90,0.388,0.857,0.2,26,51,1
54,46,122,0.526,0.667,0.483,31,50,116,0.469,0.846,0.341,25,41,1
55,63,122,0.49,0.867,0.355,30,49,119,0.461,0.679,0.2,18,48,1
38,48,122,0.524,0.667,0.381,24,44,92,0.391,0.7,0.386,25,38,1
52,58,116,0.5,0.793,0.371,25,47,96,0.43,0.5,0.289,24,36,1
37,61,100,0.457,0.875,0.375,28,46,106,0.427,0.706,0.5,21,43,0
45,44,108,0.429,0.69,0.372,25,37,122,0.538,0.826,0.425,23,41,0
60,57,98,0.407,0.941,0.293,22,50,81,0.42,0.75,0.184,18,41,1
37,47,129,0.583,0.656,0.323,31,45,121,0.54,0.522,0.429,29,38,1
66,46,90,0.327,0.667,0.235,24,44,115,0.524,0.842,0.393,23,60,0
41,57,130,0.556,0.944,0.406,36,44,116,0.518,0.75,0.462,23,36,1
65,39,115,0.462,0.84,0.385,26,48,105,0.463,0.64,0.382,25,41,1
53,42,110,0.512,0.813,0.324,26,40,108,0.481,0.778,0.421,22,40,1
49,43,100,0.474,0.727,0.333,23,32,136,0.602,0.7,0.535,39,41,0
50,62,126,0.551,0.833,0.419,35,40,106,0.469,0.714,0.375,23,38,1
56,59,115,0.495,0.667,0.344,31,46,110,0.45,0.875,0.351,27,43,1
40,38,97,0.439,0.739,0.25,22,40,107,0.531,0.636,0.341,31,43,0
42,54,132,0.531,0.636,0.471,31,46,105,0.44,0.696,0.273,25,47,1
55,58,103,0.514,0.731,0.4,24,36,101,0.439,0.85,0.343,24,43,1
48,61,120,0.409,0.7,0.32,26,61,124,0.439,0.778,0.356,24,53,0
63,64,115,0.46,0.833,0.419,24,60,95,0.417,0.714,0.345,27,37,1
44,51,110,0.408,0.889,0.311,24,55,106,0.398,0.81,0.393,21,52,1
53,65,119,0.494,0.962,0.48,28,47,103,0.368,0.784,0.345,23,41,1
66,47,117,0.518,0.714,0.306,25,50,114,0.418,0.719,0.375,19,44,1
37,38,108,0.461,0.7,0.387,19,43,92,0.349,0.926,0.194,15,52,1
40,43,105,0.389,0.909,0.147,23,43,116,0.5,0.88,0.364,29,43,0
48,46,121,0.471,0.963,0.441,28,51,114,0.446,0.719,0.257,22,37,1
45,57,110,0.481,0.774,0.244,25,38,125,0.568,0.8,0.436,20,34,0
63,62,119,0.561,0.75,0.391,27,42,109,0.435,0.857,0.37,20,37,1
